,rand_index,SITE ID,datetime,hour,二氧化硫,溫度,一氧化碳,臭氧,細懸浮微粒,相對濕度,懸浮微粒,二氧化氮
0,272,EPA001,2019-01-12,8,1.2,18.2,0.34,20,11,98,21,18.77777778
1,96896,EPA002,2019-01-12,8,0.5,18.9,0.43,14,16,93,9,17
2,193520,EPA003,2019-01-12,8,1,18.6,0.26,33,12,96,27,5.2
3,290144,EPA004,2019-01-12,8,1.5,20.5,0.41,17,21,86,34,13
4,386768,EPA005,2019-01-12,8,2.5,19.6,0.41,17,28,85,35,16
5,474608,EPA006,2019-01-12,8,1.2,20,0.43,15,23,83,35,17
6,571232,EPA007,2019-01-12,8,1.8,19.6,0.35,19,18,81,29,12
7,632720,EPA008,2019-01-12,8,1.6,19.1,0.4,14,19,86,27,13
8,667856,EPA009,2019-01-12,8,1.1,16.6,0.26,27,8,100,19,9.7
9,9056,EPA010,2019-01-12,8,2.2,18.6,0.27,32,16,93,25,5.7
10,17840,EPA011,2019-01-12,8,2.1,19.5,0.35,12.5,15,88,35,15
11,26624,EPA012,2019-01-12,8,0.2,19.3,0.69,11,11,92,40,21
12,35408,EPA013,2019-01-12,8,0.5,20,0.61,9.6,24,85,32,22
13,44192,EPA014,2019-01-12,8,0.1,19.7,0.55,10,17,88,36,20
14,52976,EPA015,2019-01-12,8,1.4,18.7,0.35,8.8,17,90,35,21
15,70544,EPA017,2019-01-12,8,1.1,17.8,0.46,15,23,93,26,15
16,79328,EPA018,2019-01-12,8,0.5,18.9,0.25,29,14,98,28,11
17,88112,EPA019,2019-01-12,8,1.8,18,0.29,28,32,100,38,7.8
18,105680,EPA020,2019-01-12,8,0.6,17.9,0.51,15,20,96,44,18
19,114464,EPA021,2019-01-12,8,2.8,17.7,0.49,16,20,99,72,17
20,123248,EPA022,2019-01-12,8,1.4,17.7,0.35,22,21,89,43,11
21,132032,EPA023,2019-01-12,8,1.5,20.3,0.43,5.5,33,94,48,16
22,140816,EPA024,2019-01-12,8,1,19.6,0.43,14,38,88,53,15
23,149600,EPA025,2019-01-12,8,1.5,18.5,0.55,9.2,39,85,71,20
24,158384,EPA026,2019-01-12,8,3.3,20.3,0.63,1.8,34,99,76,21
25,167168,EPA027,2019-01-12,8,1.8,17,0.38,5.8,3,98,6,13
26,175952,EPA028,2019-01-12,8,2.6,19.6,0.46,8.4,17,80,37,15
27,184736,EPA029,2019-01-12,8,0.1,22,0.43,6.8,17,91,27,16
28,202304,EPA030,2019-01-12,8,2.2,21.3,0.76,4.4,18,80,30,19
29,211088,EPA031,2019-01-12,8,0.66,19.6,0.45,6.8,21,84,32,13
30,219872,EPA032,2019-01-12,8,1.7,19.6,0.39,9.2,19,86,29,12
31,228656,EPA033,2019-01-12,8,3.6,20.2,0.75,6.1,12,86,28,19
32,237440,EPA034,2019-01-12,8,2.7,18.7,0.69,6.5,18,93,40,16
33,246224,EPA035,2019-01-12,8,3.2,18.6,0.54,6.5,19,100,58,14
34,255008,EPA036,2019-01-12,8,1.5,21.2,0.64,6,22,80,44,20
35,263792,EPA037,2019-01-12,8,2.7,19.6,0.64,5.6,46,90,62,20
36,272576,EPA038,2019-01-12,8,1.6,18.2,0.6,5.6,47,91,84,16
37,281360,EPA039,2019-01-12,8,2.2,18.2,0.48,5,33,96,54,15
38,298928,EPA040,2019-01-12,8,1.8,19.2,0.41,7.8,39,100,46,10
39,307712,EPA041,2019-01-12,8,2.3,18.1,0.33,14,23,85,35,9.9
40,316496,EPA042,2019-01-12,8,2.3,19.1,0.77,5.9,47,90,72,20
41,325280,EPA043,2019-01-12,8,2.3,19.4,0.48,4.1,44,92,61,19
42,334064,EPA044,2019-01-12,8,2.95,20.7,0.76,6,42,87,111,22
43,342848,EPA045,2019-01-12,8,4.2,21.2,0.8,8.8,66,87,92,23
44,351632,EPA046,2019-01-12,8,5.3,21.6,0.94,8,71,84,111,26
45,360416,EPA047,2019-01-12,8,1.6,23.1,0.48,20,38,77,68,11
46,369200,EPA048,2019-01-12,8,3.2,23.4,0.78,10,62,79,102,29
47,377984,EPA049,2019-01-12,8,4.6,24.2,0.91,20,59,78,93,33
48,395552,EPA050,2019-01-12,8,2.7,24.5,0.9,29,61,69,84,25
49,404336,EPA051,2019-01-12,8,1.9,23.2,0.48,16,49,82,81,18
50,413120,EPA052,2019-01-12,8,2.4,24.6,0.45,27,48,73,80,12
51,421904,EPA053,2019-01-12,8,3,23.6,0.85,10,67,78,83,37
52,430688,EPA054,2019-01-12,8,3,24.8,0.93,29,57,80,67,24
53,439472,EPA056,2019-01-12,8,3.2,24.6,0.83,30,52,73,59,24
54,448256,EPA057,2019-01-12,8,4.8,25.4,1.07,18,41,69,67,41
55,457040,EPA058,2019-01-12,8,3.3,25.6,0.79,23,48,70,78,30
56,465824,EPA059,2019-01-12,8,2.4,24,0.76,21,45,76,85,23
57,483392,EPA060,2019-01-12,8,2,23.9,0.38,20,34,76,74,12
58,492176,EPA061,2019-01-12,8,1,26.3,0.16,30,5,83,17,1.9
59,500960,EPA062,2019-01-12,8,1,23.3,0.27,10,7,67,13,5.6
60,509744,EPA063,2019-01-12,8,2,21.8,0.28,10,7,76,21,5
61,518528,EPA064,2019-01-12,8,1,15.3,0.25,16,6,100,11,4.1
62,527312,EPA065,2019-01-12,8,1.5,21.2,0.49,9.5,8,80,23,11
63,536096,EPA066,2019-01-12,8,2.6,21.2,0.58,5.8,9,84,41,15
64,544880,EPA067,2019-01-12,8,3.8,19.9,1.49,14,21,85,55,30
65,553664,EPA068,2019-01-12,8,1.4,18.5,0.74,5.6,28,92,49,27
66,562448,EPA069,2019-01-12,8,1.3,21,0.52,15,28,81,47,12
67,580016,EPA070,2019-01-12,8,1.2,21.1,1.59,6.4,27,86,40,27
68,588800,EPA071,2019-01-12,8,4.8,25.3,1.25,16,43,71,76,40
69,597584,EPA072,2019-01-12,8,3.6,18,0.72,8.4,22,81,56,18
70,606368,EPA075,2019-01-12,8,1.7,13.4,0.3,15,16,94,30,13
71,615152,EPA077,2019-01-12,8,6.5,16.3,0.39,14,34,100,98,16
72,623936,EPA078,2019-01-12,8,1.8,19.4,0.28,10,18,88,12,11
