,0
0,273
1,96908
2,193543
3,290178
4,386813
5,474663
6,571298
7,632793
8,667930
9,9058
10,17843
11,26628
12,35413
13,44198
14,52983
15,70553
16,79338
17,88123
18,105693
19,114478
20,123263
21,132048
22,140833
23,149618
24,158403
25,167188
26,175973
27,184758
28,202328
29,211113
30,219898
31,228683
32,237468
33,246253
34,255038
35,263823
36,272608
37,281393
38,298963
39,307748
40,316533
41,325318
42,334103
43,342888
44,351673
45,360458
46,369243
47,378028
48,395598
49,404383
50,413168
51,421953
52,430738
53,439523
54,448308
55,457093
56,465878
57,483448
58,492233
59,501018
60,509803
61,518588
62,527373
63,536158
64,544943
65,553728
66,562513
67,580083
68,588868
69,597653
70,606438
71,615223
72,624008
73,641578
74,297
75,96932
76,193567
77,290202
78,386837
79,474687
80,571322
81,632817
82,667954
83,9082
84,17867
85,26652
86,35437
87,44222
88,53007
89,70577
90,79362
91,88147
92,105717
93,114502
94,123287
95,132072
96,140857
97,149642
98,158427
99,167212
100,175997
101,184782
102,202352
103,211137
104,219922
105,228707
106,237492
107,246277
108,255062
109,263847
110,272632
111,281417
112,298987
113,307772
114,316557
115,325342
116,334127
117,342912
118,351697
119,360482
120,369267
121,378052
122,395622
123,404407
124,413192
125,421977
126,430762
127,439547
128,448332
129,457117
130,465902
131,483472
132,492257
133,501042
134,509827
135,518612
136,527397
137,536182
138,544967
139,553752
140,562537
141,580107
142,588892
143,597677
144,606462
145,615247
146,624032
147,641602
148,321
149,96956
150,193591
151,290226
152,386861
153,474711
154,571346
155,632841
156,667978
157,9106
158,17891
159,26676
160,35461
161,44246
162,53031
163,70601
164,79386
165,88171
166,105741
167,114526
168,123311
169,132096
170,140881
171,149666
172,158451
173,167236
174,176021
175,184806
176,202376
177,211161
178,219946
179,228731
180,237516
181,246301
182,255086
183,263871
184,272656
185,281441
186,299011
187,307796
188,316581
189,325366
190,334151
191,342936
192,351721
193,360506
194,369291
195,378076
196,395646
197,404431
198,413216
199,422001
200,430786
201,439571
202,448356
203,457141
204,465926
205,483496
206,492281
207,501066
208,509851
209,518636
210,527421
211,536206
212,544991
213,553776
214,562561
215,580131
216,588916
217,597701
218,606486
219,615271
220,624056
221,641626
222,345
223,96980
224,193615
225,290250
226,386885
227,474735
228,571370
229,632865
230,668002
231,9130
232,17915
233,26700
234,35485
235,44270
236,53055
237,70625
238,79410
239,88195
240,105765
241,114550
242,123335
243,132120
244,140905
245,149690
246,158475
247,167260
248,176045
249,184830
250,202400
251,211185
252,219970
253,228755
254,237540
255,246325
256,255110
257,263895
258,272680
259,281465
260,299035
261,307820
262,316605
263,325390
264,334175
265,342960
266,351745
267,360530
268,369315
269,378100
270,395670
271,404455
272,413240
273,422025
274,430810
275,439595
276,448380
277,457165
278,465950
279,483520
280,492305
281,501090
282,509875
283,518660
284,527445
285,536230
286,545015
287,553800
288,562585
289,580155
290,588940
291,597725
292,606510
293,615295
294,624080
295,641650
296,369
297,97004
298,193639
299,290274
300,386909
301,474759
302,571394
303,632889
304,668026
305,9154
306,17939
307,26724
308,35509
309,44294
310,53079
311,70649
312,79434
313,88219
314,105789
315,114574
316,123359
317,132144
318,140929
319,149714
320,158499
321,167284
322,176069
323,184854
324,202424
325,211209
326,219994
327,228779
328,237564
329,246349
330,255134
331,263919
332,272704
333,281489
334,299059
335,307844
336,316629
337,325414
338,334199
339,342984
340,351769
341,360554
342,369339
343,378124
344,395694
345,404479
346,413264
347,422049
348,430834
349,439619
350,448404
351,457189
352,465974
353,483544
354,492329
355,501114
356,509899
357,518684
358,527469
359,536254
360,545039
361,553824
362,562609
363,580179
364,588964
365,597749
366,606534
367,615319
368,624104
369,641674
370,393
371,97028
372,193663
373,290298
374,386933
375,474783
376,571418
377,632913
378,668050
379,9178
380,17963
381,26748
382,35533
383,44318
384,53103
385,70673
386,79458
387,88243
388,105813
389,114598
390,123383
391,132168
392,140953
393,149738
394,158523
395,167308
396,176093
397,184878
398,202448
399,211233
400,220018
401,228803
402,237588
403,246373
404,255158
405,263943
406,272728
407,281513
408,299083
409,307868
410,316653
411,325438
412,334223
413,343008
414,351793
415,360578
416,369363
417,378148
418,395718
419,404503
420,413288
421,422073
422,430858
423,439643
424,448428
425,457213
426,465998
427,483568
428,492353
429,501138
430,509923
431,518708
432,527493
433,536278
434,545063
435,553848
436,562633
437,580203
438,588988
439,597773
440,606558
441,615343
442,624128
443,641698
444,417
445,97052
446,193687
447,290322
448,386957
449,474807
450,571442
451,632937
452,668074
453,9202
454,17987
455,26772
456,35557
457,44342
458,53127
459,70697
460,79482
461,88267
462,105837
463,114622
464,123407
465,132192
466,140977
467,149762
468,158547
469,167332
470,176117
471,184902
472,202472
473,211257
474,220042
475,228827
476,237612
477,246397
478,255182
479,263967
480,272752
481,281537
482,299107
483,307892
484,316677
485,325462
486,334247
487,343032
488,351817
489,360602
490,369387
491,378172
492,395742
493,404527
494,413312
495,422097
496,430882
497,439667
498,448452
499,457237
500,466022
501,483592
502,492377
503,501162
504,509947
505,518732
506,527517
507,536302
508,545087
509,553872
510,562657
511,580227
512,589012
513,597797
514,606582
515,615367
516,624152
517,641722
518,441
519,97076
520,193711
521,290346
522,386981
523,474831
524,571466
525,632961
526,668098
527,9226
528,18011
529,26796
530,35581
531,44366
